algoritmo,semente,cliente_id,grupo,mse_global,mse_personalizado
fedprox (mu=0.05),6,0,baixa_heterog,1.7893477862958655,1.603295154705074
fedprox (mu=0.05),6,1,baixa_heterog,1.6620508813213521,1.4493829182608253
fedprox (mu=0.05),6,2,baixa_heterog,1.3010449184639346,1.3181361838532402
fedprox (mu=0.05),6,3,baixa_heterog,1.6790502089018928,1.2811563246460824
fedprox (mu=0.05),6,4,baixa_heterog,1.9773492704321578,1.2234096298159503
fedprox (mu=0.05),6,5,baixa_heterog,6.881993120549172,1.9092553552247329
fedprox (mu=0.05),6,6,alta_heterog,4.102874812748237,1.526000223716274
fedprox (mu=0.05),6,7,alta_heterog,2.0202372699436197,1.783541836172742
fedprox (mu=0.05),6,8,alta_heterog,2.388863425855972,1.3876634285238696
fedprox (mu=0.05),6,9,alta_heterog,1.9654381191007029,1.3967213707852373
fedprox (mu=0.05),7,0,baixa_heterog,3.7479788049054417,1.125227314708975
fedprox (mu=0.05),7,1,baixa_heterog,3.042446765857226,1.3318140587329386
fedprox (mu=0.05),7,2,baixa_heterog,2.3255593504893235,1.5039740045353567
fedprox (mu=0.05),7,3,baixa_heterog,5.900347351501643,1.2026483239858998
fedprox (mu=0.05),7,4,baixa_heterog,1.997636837359021,1.5391634668773588
fedprox (mu=0.05),7,5,baixa_heterog,6.961370761309185,1.5351864937435464
fedprox (mu=0.05),7,6,alta_heterog,2.0099175068774047,1.511347733410507
fedprox (mu=0.05),7,7,alta_heterog,2.925077414347589,1.7326219332891895
fedprox (mu=0.05),7,8,alta_heterog,13.11152662705506,3.885083174081447
fedprox (mu=0.05),7,9,alta_heterog,13.343519233927633,4.443727654909657
fedprox (mu=0.05),8,0,baixa_heterog,2.219891482846308,1.7373372554148774
fedprox (mu=0.05),8,1,baixa_heterog,2.098896544972813,1.6118513147411644
fedprox (mu=0.05),8,2,baixa_heterog,1.7915954405075265,1.461250599339754
fedprox (mu=0.05),8,3,baixa_heterog,2.8986421319174003,1.6606883245124142
fedprox (mu=0.05),8,4,baixa_heterog,2.764131284800811,1.5858658238750187
fedprox (mu=0.05),8,5,baixa_heterog,4.180912464304441,1.8335097901508708
fedprox (mu=0.05),8,6,alta_heterog,1.3469525572973662,1.0362299862212578
fedprox (mu=0.05),8,7,alta_heterog,3.232991001926304,1.233493445810083
fedprox (mu=0.05),8,8,alta_heterog,4.146903396121703,1.6496242494251183
fedprox (mu=0.05),8,9,alta_heterog,2.9007745544012282,1.4004738280347793
