janela,rodada,cliente_id,selecionado,falhou,tempo_execucao,tamanho_lote,mse_treino,mse_teste
3,10,2,1,0,9.7e-05,80,0.0,0.0
3,10,3,1,0,9.5e-05,80,0.0,0.0
3,10,4,0,0,0.0,0,0.0,0.0
3,10,5,1,0,0.000101,80,0.0,0.0
3,10,6,1,0,9.7e-05,80,0.0,0.0
3,10,7,0,0,0.0,0,0.0,0.0
3,10,8,1,1,0.0,0,0.0,0.0
3,10,9,1,0,9.7e-05,80,0.0,0.0
3,10,2,1,0,0.0,0,2.111294,0.0
3,10,3,1,0,0.0,0,1.739643,0.0
3,10,5,1,0,0.0,0,9.064242,0.0
3,10,6,1,0,0.0,0,6.594894,0.0
3,10,8,1,0,0.0,0,4.085407,0.0
3,10,9,1,0,0.0,0,3.719854,0.0
4,1,0,1,0,0.000102,80,0.0,0.0
4,1,1,0,0,0.0,0,0.0,0.0
4,1,2,1,0,0.000113,56,0.0,0.0
4,1,3,1,0,0.000103,80,0.0,0.0
4,1,4,1,1,0.0,0,0.0,0.0
4,1,5,1,0,9.9e-05,60,0.0,0.0
4,1,6,0,0,0.0,0,0.0,0.0
4,1,7,0,0,0.0,0,0.0,0.0
4,1,8,0,0,0.0,0,0.0,0.0
4,1,9,1,0,0.000104,80,0.0,0.0
4,1,0,1,0,0.0,0,2.274316,0.0
4,1,2,1,0,0.0,0,2.422773,0.0
4,1,3,1,0,0.0,0,1.951844,0.0
4,1,4,1,0,0.0,0,2.502717,0.0
4,1,5,1,0,0.0,0,6.840429,0.0
4,1,9,1,0,0.0,0,3.058676,0.0
4,2,0,0,0,0.0,0,0.0,0.0
4,2,1,1,0,9.8e-05,80,0.0,0.0
4,2,2,1,0,9.5e-05,56,0.0,0.0
4,2,3,1,0,9.4e-05,80,0.0,0.0
4,2,4,0,0,0.0,0,0.0,0.0
4,2,5,0,0,0.0,0,0.0,0.0
4,2,6,1,0,0.000106,49,0.0,0.0
4,2,7,0,0,0.0,0,0.0,0.0
4,2,8,1,0,9.7e-05,80,0.0,0.0
4,2,9,1,0,9.5e-05,80,0.0,0.0
4,2,1,1,0,0.0,0,2.25015,0.0
4,2,2,1,0,0.0,0,2.647393,0.0
4,2,3,1,0,0.0,0,1.75093,0.0
4,2,6,1,0,0.0,0,5.644086,0.0
4,2,8,1,0,0.0,0,2.985443,0.0
4,2,9,1,0,0.0,0,2.815854,0.0
4,3,0,1,0,0.000103,80,0.0,0.0
4,3,1,0,0,0.0,0,0.0,0.0
4,3,2,0,0,0.0,0,0.0,0.0
4,3,3,1,0,9.8e-05,80,0.0,0.0
4,3,4,1,0,9.7e-05,80,0.0,0.0
4,3,5,1,1,0.0,0,0.0,0.0
4,3,6,0,0,0.0,0,0.0,0.0
4,3,7,0,0,0.0,0,0.0,0.0
4,3,8,1,0,9.8e-05,80,0.0,0.0
4,3,9,1,1,0.0,0,0.0,0.0
4,3,0,1,0,0.0,0,2.308958,0.0
